type,brand,size,model,name,unit,qty,buy_price,sell_price,source
tyre,West Lake Pro,10.00R20-20ply,AZ850 Pro,AZ850 Pro,pcs,98,,,Product List
tyre,Dynacargo,10.00R20-18ply,G28+,G28+,pcs,28,,,Product List
tyre,NEOLIN,10.00R20-18ply,NR12+,NR12+,pcs,8,,,Product List
tyre,NEOLIN,10.00R20-18ply,NC51 Bus,NC51 Bus,pcs,2,,,Product List
tyre,AOLONG,10.00R20-18ply,X LOADER,X LOADER,pcs,20,,,Product List
tyre,AOLONG,10.00R20-18ply,ALLROUNDER,ALLROUNDER,pcs,21,,,Product List
tyre,BIRLA,10.00R20-16ply,ULTRA MULTI PLATINA,ULTRA MULTI PLATINA,pcs,7,,,Product List
tyre,GREFORCE,10.00R20-18ply,GRA37S+,GRA37S+,pcs,36,,,Product List
tyre,EUDEMON,10.00R20-18ply,UF195 Civil,UF195 Civil,pcs,6,,,Product List
tyre,Effiplus,10.00R20-18ply,MOBY.R802X,MOBY.R802X,pcs,14,,,Product List
tyre,AOLONG,10.00R20-18ply,MOVER Civil,MOVER Civil,pcs,2,,,Product List
tyre,JK,10.00R20-16ply,JETWAY JUH5 Civil,JETWAY JUH5 Civil,pcs,8,,,Product List
tyre,RoadX,10.00R20-18ply,AP886,AP886,pcs,4,,,Product List
tyre,RoadX,10.00R20-18ply,MS688,MS688,pcs,4,,,Product List
tyre,ROADONE,10.00R20-18ply,GA98,GA98,pcs,2,,,Product List
tyre,ROADONE,10.00R20-18ply,RA85,RA85,pcs,4,,,Product List
tyre,DOUBLE HORSE,10.00R20-18ply,JTR561PLUS,JTR561PLUS,pcs,49,,,Product List
tyre,DOUBLE HORSE,10.00R20-18ply,JTR561,JTR561,pcs,8,,,Product List
tyre,TRIANGLE,10.00R20-18ply,TR663+,TR663+,pcs,6,,,Product List
tyre,TRIANGLE,10.00R20-18ply,TR661,TR661,pcs,4,,,Product List
tyre,JIANXIN,10.00R20-18ply,JX579,JX579,pcs,4,,,Product List
tyre,JIANXIN,10.00R20-18ply,JX359,JX359,pcs,2,,,Product List
tyre,ARISUN,10.00R20-18ply,AZ850,AZ850,pcs,1,,,Product List
tyre,AEOLUS,10.00R20-18ply,ADC52,ADC52,pcs,4,,,Product List
tyre,VIKRANT,10.00R20-16ply,VUB Civil,VUB Civil,pcs,4,,,Product List
tyre,APOLLO,10.00R20-16ply,ENDURACE-MA Civil,ENDURACE-MA Civil,pcs,6,,,Product List
tyre,APOLLO,10.00R20-18ply,SL HD Multi,SL HD Multi,pcs,4,,,Product List
tyre,MRF,10.00R20-16ply,M77,M77,pcs,11,,,Product List
tyre,MRF,10.00R20-16ply,SUPER MILER99 Civil,SUPER MILER99 Civil,pcs,1,,,Product List
tyre,MRF,10.00R20-16ply,GRITTE HAUL H118 Civil,GRITTE HAUL H118 Civil,pcs,1,,,Product List
tyre,CST,10.00R20-18ply,CR969K,CR969K,pcs,1,,,Product List
tyre,JOYUS,10.00R20-18ply,A9,A9,pcs,2,,,Product List
tyre,LANDY,10.00R20-18ply,DA818,DA818,pcs,2,,,Product List
tyre,CHAO YANG,10.00R20-18ply,CM973,CM973,pcs,2,,,Product List
tyre,Hubei Aulice,10.00R20-18ply,AW001,AW001,pcs,4,,,Product List
tyre,Random,10.00R20-18ply,China Tyre,China Tyre,pcs,16,,,Product List
