type,brand,size,model,name,unit,qty,buy_price,sell_price,source
tyre,JIANXIN,295/80R22.5-18Ply,JX289,JX289,pcs,2,,,Product List
tyre,JK,295/80R22.5-16Ply,JETWAY JUL1 TL,JETWAY JUL1 TL,pcs,2,,,Product List
tyre,West Lake,9.00R20-20ply,AZ850,AZ850,pcs,40,,,Product List
tyre,Dynacargo,9.00R20-16ply,Y501+,Y501+,pcs,2,,,Product List
tyre,EUDEMON,9.00R20-16ply,UD223,UD223,pcs,7,,,Product List
tyre,JK CHALLENGER,9.00R20-16ply,CUC2,CUC2,pcs,10,,,Product List
tyre,MRF,9.00R20-16ply,SUPER MILER99 Civil,SUPER MILER99 Civil,pcs,1,,,Product List
tyre,MRF,9.00R20-16ply,M77 Multi,M77 Multi,pcs,4,,,Product List
tyre,DOUBLE HORSE,9.00R20-16ply,JTR561,JTR561,pcs,5,,,Product List
tyre,BIRLA,9.00R20-16ply,RUSTAM Multi,RUSTAM Multi,pcs,2,,,Product List
